اَنوشا	جاویدانبرگشتبهلیست
اِستاتیرا	همسرداریوشسوم
اِلِنا	هلنوهلنا
اِلسا	(ترکیـفارسی)(ال=ایل+سا(پسوندشباهت))مثلایل،همانندایل.
اِلسانا	مثلایل،مثلمردمایلوشهروولایت،چونخویشان
اِلینا	نیکوییونعمتبرایما
ابتسام	تبسم،لبخندزدن
ارنواز	نیکوسخنوخوشگفتار.نامیکیازخواهرانجمشید
اروس	سپید،درخشانوزیبا
ارون	شادوشادمان
اریکا	مرتبطبازمین
اسما	عربیجمعاسم،نامها،نامدخترابومسلمخراسانی
اسنا	بانویبزرگواروبلندمرتبه
اشک	آبیکهازچشممیریزد
اصیلا	بانویبااصالت
افرا	ستایشکردن
افشید	شکوهخورشید
الحان	نواهایخوش،نغمههایدلکش،صدایموزونوخوشآیند
المیرا	فداکننده
النا	یونانینورانی
الناز	ایلنازموجبنازشایل
الوا	ستاره
الیانا	یکیوهدیه
الیسا	دختریکهمانندگلانارلطیفاست
الیکا	مادرزمین–شکوفه–نامدهیدرشماایران
الین	همنژادوهمخون
امانه	اطمینانوآرامشقلب،دختریکهوجودشمایهقوتقلباست
امیرا	بانویحاکم
امینه	مؤنثامین
انار	میوهایخوراکیبادانههایقرمزیاسفیدفراوانومزهترشیاشیرین
انارام	روشناییبیفروغوبیپایان
انارگل	گلانار
انگبین	عسل
انوش	جاویدان
انیس	عربیهمدم
انیسه	عربیهمدم
اوران	درگویشسیستان
اورانوس	فرانسهنامهفتمینسیارهمنظومهشمسی
اورنینا	یونانیربهالنوعفراوانینعمت
اورینا	یونانیدراساطیریونان،الههآسمانهاوحامیعشقآسمانی
ایرانا	ایران+ا(پسوندنسبت)،منسوببهایران،مربوطبهایران،ایرانی
ایرسا	رنگینکمان
ایلماه	یعنیماهایل،ریشهیاسملری،لریبختیاری
آبنوش	اززنانویسورامین
آپامه	خوشرنگوآب؛دختراردشیردومهخامنشی
آترا	نامیکیازماههایپاییز
آترین	آذرینمانندآتش،زیباوپرانرژی
آتشگون	سرخفام،سرخرنگ
آتنا	دراساطیریونان،خدایاندیشه،هنر،دانشوصنعت
آتوسا	نامدخترکوروشپادشاههخامنشیوبهمعنیقدرتوتوانمندیاست.
آتیه	آینده
آدا	پاداشمینوی،فرشتهتوانگری
آدخت	خجستهونیکو
آدرینا	آتشین،سرخرو،دخترزیبارو،بانویآتشین
آدنا	نامروستاییدرنزدیکیچالوس
آذربانو	بانویآتشگون
آذرچهر	همانندروشنایی
آذرگون	گلهمیشهبهار
آذرمینا	لعلگون،سرخرنگ
آذین	زینت،زیور،نامیکیازفرماندهانسپاهبابکخرمدین،نامپهلوانیدرویسورامین
آذینگل	زینتگل،زیورگل–کنایهاززیباییبسیارزیاد
آذين	زيور،زيب،زينت،آرايش؛(درقديم)آيين،رسموقاعده.
آراسته	بانظموترتیب
آراگل	آرایندهگلها–زیباکنندهگلها
آرالیا	درختچههایزینتی
آرام	سکون،ثبات،آسایش،طمأنینه
آرامدخت	ازنامهایبرگزیده
آرامدل	ازنامهایبرگزیده
آرامش	آرمیدن
آرامیس	آرامش،راحتی
آرتادخت	وزیرخزانهداریاردوانچهارماشکانی
آرتیستون	دخترکورشبزرگ–زنداریوش
آرزو	(پهلوی)،خواهش،كام،مراد،چشمداشت،اميد،توقعوانتظار؛
آرشیدا	بانویدرخشانآریایی،بانویآراستهودرخشان
آرمیتا	آرمان،عشقپاک
آرمیتی	فروتنیوپاکیومحبت
آرمیدخت	ازنامهایبرگزیده
آرمیلا	اسمدختراندرایرانباستان(شاهدخت)
آرميتا	(اوستايي)پارسا،پاك،فروتن.
آریان	بانویبسیارمقدس–نامدخترمینوسپادشاهاساطیرییونان
آریانا	منسوببهآریا،آریایی،نامقدیمایران
آزادچهر	آزادهنژاد
آزاده	آزاد،اصيل؛(درقديم)نجيب،شريف،صالح؛(درقديم)ايراني؛(اَعلام)نامزنِ…
آزیتا	آزیتانامدخترانهیایرانیایاستبهمعنی«الههیآتش»
آژند	نامگلیاست
آسا	زیورمایهزیباییووقاروثباتوتمکینوآسودگی
آساره	نامدختربهزبانلریبختیاریبهمعنی
آسمان	فضایبالایسرکهآبیرنگبهنظرمیرسد،
آسیمن	نامیپهلویکههمانسیمینامروزیاست
آشتی	مهرودوستی،یکرنگی
آشنا	یار،دوست
آشوب	شور،انقلاب
آشیان	لانهوکاشانه
آفتاب	گرمی،روشنایی
آفرین	درودوسپاس
آگرین	کردیآتشین،بهرنگآتش
آلا	نعمتها،نیکیها
آلاله	نامگلیاست
آلکا	درگویشسمناننامامامزادهای
آلما	ترکیسیب،کنایهاززیبایی
آلیس	الیسیکاسمدخترانهباریشهفرانسویبهمعنیبانوینجیبزاده،دختراصیل،
آلیشان	هردوترکیشعلهور
آماندا	ایننامبهمعنایدوستداشتنیاست.
آمتیس	آمیتیس،نامدخترخشایارپادشاههخامنشی
آمی‌تیس	پادشاهماد،نامزنکورش
آناشید	دخترزیبارویمادر،مایهدلگرمیوروشناییزندگیمادر
آناهيتا	(اوستايي)بي‌آلايش،پاك،بهدورازآلودگيوناپاكي؛
آنجلا	آنجلاشکلدخترانهنامپسرانجلوساست.
آندیا	نامزناردشیرساسانی
آنسه	مانوس،همنشیننیکو
آنیتا	آراستگی،مهربانی،خوشرویی
آوا	نداوصدا،نغمه
آوین	کردیعشق
آوینا	عشق
آهنگ	سرودونغمه
آهو	غزال،غزاله؛(بهمجاز)معشوقزيبا؛(درقديم)(بهمجاز)چشمزيبا؛
آیدا	شاد،خوش
آیسان	آی(ترکی)+سان(فارسی)زیبا،مانندماه
آینور	اسمترکیبیترکی_عربیبهمعنینورماه،نورانیمثلماه،روشناییماه،
آیه	نشانه،نشانهخدا
آيدا	(تركي)گياهيكهكنارآبمي‌رويد؛شاد،ماه–نامتذکمنب
آيه	(عربي)نشانه،نشان‌،معجزه،دليل،حجت،برهان؛اعجوبه،عجيبه

بانو	خانم،کلمهاحترامدربارهبانوانبرگشتبهلیست
بَرفین	برفی،ازجنسبرف؛سفیدمانندبرف؛(بهمجاز)زیباچهره
بَصیرا	منسوببهبصیر؛منتسببهدانایی؛(بهمجاز)دختریکهبیناوداناباشد.
بُشرا	بشارت،مژده،مژدگانی؛ازواژههایقرآنی
بِه‌آفرین	خوبآفریده؛خوشسیما،خوشمنظر
بِهشید	تابناکودارایفروغوروشنایی
باختر	مغرب؛بهمعنیستارهاست.
بادامک	بادامکوچک،نوعیدرختبادام
باران	قطره‌هایآبکهبراثرمایعشدنبخارآبِموجوددرجوزمینایجادمی‌شود
بارلی	بار(فارسی)+لی(ترکی)میوهدار،سودمند
بارنک	نامدرختیاست.
باستیان	بردبار،شکیبا
بافرین	بآفرین،لایقتحسینوتشویق،درخورآفرین
بالنده	آنکهیاآنچهدرحالرشدیاترقیوپیشرفتاست.
بالیده	رشدونموکرده
بامک	بامداد،صبح
بامی	درخشان،لقبشهربلخ
بامین	نامروستاییدرنزدیکیهرات
بانوگشسب	نامدختررستمزال،زنگیوومادربیژن
باور	مجموعهاعتقادهاییکهدریکجامعهموردپذیرشقرارگرفتهاست،
بختآفرید	آفریدهبختواقبال
بخشایش	گذشتوچشمپوشیکردنگناهیاکارنادرستکسی،عفو،رأفت،رحمتوشفقت.
بخشنده	آنکهچیزیرابیآنکهعوضیبخواهدمیبخشد؛عطاکننده.
بردبار	شکیبا،باحوصله
برزآفرید	آفریدهباشکوه،ناممادرفرود
برسومه	برسم،شاخه‌هایگیاه
برشید	بر(میوه)+شید(خورشید)،میوهخورشید
برفین	برفی،ازجنسبرف؛سفیدمانندبرف؛(بهمجاز)زیباچهره.
برگ	بهضمب،ابرو
برنا	جوان،خوشاندام
برومند	(اسمدختروپسر)خوشقامت،ناممادربابکخرمدین
برهون	هاله،خرمنماه
بلوت	درختسودبخش
بلوط	گیاهیدرختیوجنگلیکهمیوهآنخوراکیاست.
بمانی	نامیکهباآنطولعمرکودکرابخواهند.
بنفشه	نامگل،(بهمجاز)مو،زلف؛
بنیتا	دختربیهمتایمن
بوته	گیاه،ساقهجوان
بوختار	ازنامهایبرگزیده
بوژنه	شکوفه،غنچهاسمدختر
بوستان	بستان،باغوگلزار
بویه	آرزو
بهآفرید	نامدخترکیگشتاسب
بهنگار	خوبچهره،نیکوصورت
بهار	فصلاولسال
بهارا،بهار،بهاران	فصلبهار
بهاران	هنگامبهار،موسمبهار؛(بهمجاز)زیباوباطراوت.
بهارآفرین	آفرینندهبهار
بهاردخت	دختربهار
بهارک	بهمعنایمانندبهار،همچونبهار؛(بهمجاز)زیباباطراوت
بهارگل	گلیکهدربهارمیروید.
بهارناز	موجبفخرونازشبهار
بهاره	مربوطبهبهار؛بهعملآمدهدربهار؛منسوببهبهار.
بهارین	منسوببهبهار،بهاری
